Full Market Value,Land Assessed Value,MostRecentSalePrice,MostRecentSaleDate,PropertyType,BuildingStyle,YearBuilt,RoomCounts,nbhd,LotSize(acr)
"$145,000","$8,400",70250,4/14/2011,1 Family Res,Old style,1835,3 / 1,Union Hew Siss,0.42
"$45,500","$32,800",19200,4/14/2011,Mfg housing,,,,Rural,3.8
"$176,000","$31,000",90000,4/14/2006,1 Family Res,Ranch,1991,3 / 2,Rural,2
"$38,000","$27,400",1000,4/14/1999,Vac w/imprv,,,,Rural New,3.4
"$96,000","$18,300",80000,4/13/2023,1 Family Res,Ranch,1960,2 / 1,Vill/Norwood,0.46
"$314,000","$32,100",225000,4/13/2021,1 Family Res,Cape cod,1992,3 / 1.1,Rural,3.1
"$151,000","$33,700",80000,4/13/2021,1 Family Res,Ranch,1985,2 / 1,Rural,4.7
"$137,000","$15,500",99500,4/13/2020,1 Family Res,Old style,1930,3 / 1.1,Res Old #2,0.15
"$235,000","$21,500",136000,4/13/2017,1 Family Res,Ranch,1958,3 / 2,Rural,0.5
"$41,600","$41,600",31500,4/13/2016,Rural vac<10,,,,Rural,2.6
"$150,000","$26,300",28000,4/13/2007,Det row bldg,Commercial,1940,,Commercial,0.32
"$36,600","$36,600",16500,4/12/2012,Field crops,,,,Rural,11.8
"$185,000","$14,700",59000,4/12/2007,1 Family Res,Ranch,1961,3 / 1.1,Vill/Norwood,0.34
"$120,000","$14,800",67000,4/12/2007,Converted Res,Commercial,1920,,Comm Old,0.09
"$195,000","$15,200",195000,4/11/2024,1 Family Res,Old style,1890,2 / 1.1,Rural,0.29
"$250,000","$64,700",200000,4/11/2022,Det row bldg,Commercial,1950,,Comm Old,0.43
"$205,000","$60,300",25000,4/11/2018,Rural res,Manuf'd Housing,2024,3 / 1.1,Pot outskirts,41.6
"$286,000","$68,000",145000,4/10/2020,Rural res,Cape cod,2011,1 / 1,Rural,66.3
"$20,600","$20,600",15000,4/10/2015,Res vac land,,,,Res Old #2,1.4
"$190,000","$19,100",126000,4/10/2012,1 Family Res,Old style,1878,4 / 1.1,Res Old #2,0.19
"$155,000","$20,000",68500,4/10/2009,1 Family Res,Old style,1900,4 / 2,Res Old #2,0.2
"$425,000","$118,800",86000,4/10/2008,Office bldg.,Commercial,1971,,Commercial,4.94
"$161,000","$25,200",56500,4/10/2004,1 Family Res,Ranch,1960,3 / 1.1,Res Old #2,0.26
"$170,000","$78,600",170000,4/1/2024,Rural res,Old style,1860,4 / 1,Rural,49.2
"$10,000","$10,000",10000,4/1/2024,Rural vac<10,,,,Rural,10
"$257,000","$33,600",110000,4/1/2021,1 Family Res,Old style,1890,5 / 3,Res Old #2,0.63
"$96,000","$14,600",85000,4/1/2019,1 Family Res,Old style,1900,3 / 1,Res Old #2,0.14
"$250,000","$13,300",162000,4/1/2016,Att row bldg,Commercial,1983,,Comm Old,0.08
"$92,000","$92,000",35500,4/1/2010,Vac farmland,,,,Rural,39.5
"$18,800","$18,600",4000,4/1/2005,Vac w/imprv,,,,Rural,4.6
"$106,000","$17,400",83000,3/9/2022,1 Family Res,Old style,1930,5 / 1.1,Vill/Norwood,0.43
"$164,000","$11,500",125000,3/9/2019,1 Family Res,Old style,1900,3 / 2.1,Vill/Norwood,0.25
"$140,000","$40,000",72000,3/9/2012,1 Family Res,Old style,1860,3 / 1,Rural,1
"$225,000","$30,300",60500,3/9/2009,1 Family Res,Ranch,1960,3 / 1.1,Rural,1.3
"$163,000","$27,500",75000,3/9/2006,1 Family Res,Ranch,1964,3 / 1,Rural New,0.3
"$96,000","$20,300",50000,3/9/2004,1 Fam Res w/Apt,Old style,1850,4 / 3,Water/Nor Lake,0.53
"$17,000","$17,000",55000,3/8/2021,Rural vac<10,,,,Rural,3
"$6,600","$6,600",1000,3/8/2012,Vacant comm,,,,Commercial,0.05
"$214,000","$21,800",266000,3/8/2010,1 Family Res,Old style,1920,4 / 2,Res Old #2,0.22
"$280,000","$78,600",205000,3/7/2022,Converted Res,Commercial,1900,,Comm Old,0.54
"$7,000","$7,000",8500,3/7/2022,Rural vac<10,,,,Water/Nor Lake,0.35
"$97,000","$10,700",79000,3/6/2023,1 Family Res,Old style,1930,3 / 1,Vill/Norwood,0.23
"$120,000","$13,800",90000,3/6/2023,2 Family Res,Old style,1890,4 / 2.1,Vill/Norwood,0.31
"$34,000","$34,000",5000,3/6/2002,Res vac land,,,,Rural New,10
"$370,000","$34,400",5000,3/5/2018,1 Family Res,Ranch,2019,3 / 2,Rural,5.4
"$64,000",$900,25000,3/5/2015,1 Family Res,Old style,1900,3 / 1,Union Hew Siss,0.08
"$341,000","$129,000",325000,3/4/2022,1 Family Res,Ranch,1980,3 / 2.1,Water/Nor Lake,1.5
"$185,000","$60,000",134000,3/4/2022,1 use sm bld,Commercial,1965,,Commercial,0.6
"$209,000","$20,900",144000,3/4/2015,3 Family Res,Old style,1920,4 / 3.1,Res Old #2,0.21
"$172,000","$28,400",145000,3/4/2009,1 Family Res,Old style,1900,4 / 2,Res Old #2,0.32
"$60,000","$31,300",20000,3/4/2009,1 Family Res,Old style,1920,0 / 0,Rural,2.3
"$400,000","$97,500",325000,3/31/2017,Supermarket,Commercial,1950,,Comm Old,198
"$1,100,000","$20,600",195000,3/31/2017,Culture bldg,Commercial,1820,,Comm Old,0.13
"$35,000","$35,000",7500,3/31/2015,Vacant rural,,,,Rural New,11
"$190,000","$78,600",167500,3/31/2015,Rural res,Old style,1900,3 / 1.1,Rural New,48.1
"$201,000","$59,000",13000,3/31/2015,1 Family Res,Manuf'd Housing,2015,3 / 2,Rural New,10
"$14,900","$14,900",1600,3/31/2001,Rural vac<10,,,,Rural,0.99
"$70,000","$13,800",58000,3/30/2023,1 Family Res,Old style,1920,2 / 1,Vill/Norwood,0.31
"$279,000","$31,000",255000,3/30/2023,1 Family Res,Cape cod,1965,3 / 2,Rural New,0.37
"$48,400","$31,000",40000,3/30/2022,Mfg housing,,,,Rural,2
"$77,000","$20,000",26500,3/30/2020,1 Family Res,Old style,1900,3 / 1,Vill/Norwood,0.25
"$142,000","$33,000",57100,3/30/2017,1 Family Res,Ranch,1951,2 / 1,Res New,0.4
"$61,800","$61,800",43000,3/30/2011,Vacant rural,,,,Rural,83.7
"$154,000","$51,000",56000,3/30/2010,1 Family Res,Old style,1880,3 / 1,Rural New,2
"$2,200,000","$156,800",35000,3/30/2008,Govt bldgs,Commercial,2012,,Comm New,0.73
"$33,400","$33,400",10000,3/30/1998,Rural vac<10,,,,Rural New,9.4
"$479,000","$77,400",70000,3/3/2023,1 Family Res,Ranch,2024,3 / 2.1,Rural New,3.4
"$7,300","$7,300",5400,3/3/2017,Rural vac<10,,,,Rural,9.6
"$20,300","$20,300",150278,3/3/2017,Rural vac<10,,,,Rural,6.3
"$92,000","$7,800",44900,3/29/2019,1 Family Res,Cape cod,1952,1 / 1,Vill/Norwood,0.31
"$81,900","$81,900",65000,3/29/2018,Rural vac>10,,,,Rural,119.7
"$153,000","$13,800",50000,3/29/2004,1 Family Res,Old style,1850,4 / 2,Vill/Norwood,0.31
"$60,000","$3,900",60000,3/28/2024,1 Family Res,Cape cod,1980,3 / 2,Union Hew Siss,0.35
"$380,000","$80,400",268000,3/28/2018,Converted Res,Commercial,1960,,Comm Old,0.56
"$205,000","$29,400",115000,3/28/2018,2 Family Res,Old style,1900,5 / 2,Res Old #2,0.37
"$106,000","$30,500",15000,3/28/2017,1 Family Res,Cottage,1840,2 / 1,Rural,1.5
"$177,000","$27,600",122000,3/28/2015,1 Family Res,Ranch,1970,3 / 2,Pot outskirts,0.67
"$266,000","$36,400",145000,3/28/2012,1 Family Res,Contemporary,1980,3 / 2,Water/Nor Lake,2.4
"$70,000","$30,000",70000,3/27/2024,1 Family Res,Manuf'd Housing,1970,3 / 1.1,Rural,1
"$200,000","$30,200",120000,3/27/2017,3 Family Res,Old style,1890,5 / 3,Res Old #2,0.41
"$155,000","$38,200",90000,3/27/2017,1 Family Res,Manuf'd Housing,1994,3 / 2,Pot outskirts,4.2
"$180,000","$33,300",123000,3/27/2011,Converted Res,Commercial,1860,,Comm Old,57
"$900,000","$139,300",252000,3/27/2000,Apartment,Commercial,1970,,Comm Old,2.93
"$119,000","$18,000",119000,3/26/2024,1 Family Res,Old style,1880,3 / 1,Vill/Norwood,0.45
"$135,000","$20,000",134900,3/26/2024,1 Family Res,Old style,1920,3 / 1.1,Res Old #2,0.2
"$188,000","$59,000",15500,3/26/2013,Rural res,Manuf'd Housing,2013,3 / 2,Rural New,10
"$217,000","$31,600",18000,3/26/2008,1 Family Res,Ranch,2010,3 / 2,Rural,2.6
"$74,000","$74,000",64900,3/25/2024,Rural vac>10,,,,Rural,103.9
"$280,000","$22,500",155000,3/25/2021,1 Family Res,Raised ranch,1991,4 / 2.1,Vill/Norwood,0.62
"$356,000","$50,500",200000,3/25/2020,1 Family Res,Ranch,1972,5 / 4,Rural New,1.5
"$150,000","$117,400",65000,3/25/2010,Det row bldg,Commercial,1950,,Commercial,1.29
"$149,000","$24,500",36623,3/25/2005,2 Family Res,Old style,1900,3 / 2,Res Old #2,0.25
"$170,000","$48,800",25000,3/25/2005,1 Family Res,Ranch,1960,2 / 1,Rural New,0.94
"$5,600","$5,600",501,3/24/2023,Res vac land,,,,Res Old #1,0.11
"$231,000","$70,000",205000,3/24/2023,1 Family Res,Ranch,1964,3 / 1,Water/Nor Lake,0.48
"$118,100","$118,100",500000,3/24/2022,Field crops,,,,Rural,54.9
"$106,000","$26,400",63600,3/24/2016,1 Family Res,Cottage,1939,3 / 1,Pot outskirts,0.63
"$238,000","$37,100",76000,3/24/2014,1 Family Res,Cape cod,1955,3 / 1.1,Pot outskirts,3.1
"$172,000","$13,200",90000,3/24/2009,1 Family Res,Old style,1850,5 / 1,Union Hew Siss,3.2
"$27,800","$27,800",35000,3/23/2022,Vacant rural,,,,Rural New,3.8
"$283,500","$283,500",185000,3/23/2016,Vac farmland,,,,Rural,153.9
"$196,000","$22,700",110000,3/23/2011,1 Family Res,Old style,1900,4 / 2,Res Old #2,0.23
"$100,000","$21,000",53500,3/23/2009,1 Family Res,Old style,1949,3 / 2,Water/Nor Lake,0.6
"$52,800","$52,800",27600,3/23/2005,Vacant rural,,,,Rural,100.6
"$14,000","$14,000",250,3/23/1999,Rural vac<10,,,,Rural,0.9
"$151,000","$23,600",135000,3/22/2023,1 Family Res,Cape cod,1930,3 / 1.1,Res Old #2,0.24
"$140,000","$23,600",93000,3/22/2021,1 Family Res,Ranch,1950,2 / 2,Res Old #2,0.24
"$123,000","$23,600",92000,3/22/2018,1 Family Res,Ranch,1955,2 / 1,Res Old #2,0.24
"$216,000","$21,800",119000,3/22/2017,1 Family Res,Old style,1900,4 / 1.1,Res Old #2,0.22
"$300,000","$34,500",146000,3/22/2013,1 Family Res,Old style,1900,3 / 2,Rural,5.5
"$195,000","$31,000",194000,3/22/2013,1 Family Res,Split level,1990,4 / 2.1,Rural,2
"$199,000","$37,000",184000,3/21/2022,1 Family Res,Colonial,1925,3 / 1.1,Res Old #2,0.92
"$176,000","$17,300",95500,3/21/2020,1 Family Res,Old style,1900,4 / 1.1,Res Old #2,0.17
"$52,800","$29,600",34000,3/21/2013,Priv forest,,,,Rural,20.1
"$995,000","$200,200",700000,3/21/2000,Office bldg.,Commercial,1995,,Comm New,1.01
"$105,000","$30,000",105000,3/20/2024,1 Family Res,Old style,1880,2 / 1,Res Old #1,0.3
"$125,000","$18,200",125000,3/20/2023,Det row bldg,Commercial,1950,,Commercial,0.17
"$145,000","$20,900",123200,3/20/2023,1 Family Res,Ranch,1989,2 / 1,Res Old #2,0.21
"$183,000","$35,400",14000,3/20/2020,1 Family Res,Ranch,2024,2 / 1,Pot outskirts,1.4
"$1,890,000","$245,000",900000,3/20/2019,Auto dealer,Commercial,2007,,Comm New,2.95
"$146,000","$23,600",97000,3/20/2014,1 Family Res,Cape cod,1960,2 / 2,Res Old #2,0.24
"$374,000","$22,500",357500,3/2/2023,1 Family Res,Raised ranch,1972,3 / 3,Pot outskirts,0.5
"$155,000","$14,400",148000,3/2/2022,1 Family Res,Ranch,1960,3 / 2,Vill/Norwood,0.33
"$58,000","$16,800",55000,3/2/2022,1 Family Res,Old style,1873,3 / 1,Vill/Norwood,0.41
"$100,000","$7,000",45500,3/2/2017,Att row bldg,Commercial,1880,,Commercial,0.03
"$300,000","$66,000",175000,3/2/2016,Restaurant,Commercial,1996,,Comm New,0.27
"$171,000","$29,400",80000,3/2/2009,1 Family Res,Ranch,1953,3 / 2,Res New,0.32
"$16,000","$15,000",23500,3/2/2007,Vac w/imprv,,,,Vill/Norwood,0.5
"$81,000","$31,700",45000,3/19/2021,1 Family Res,Manuf'd Housing,1972,3 / 1,Rural,2.7
"$117,000","$18,000",85000,3/19/2021,1 Family Res,Cape cod,1952,2 / 1,Pot outskirts,0.35
"$147,000","$30,000",65000,3/19/2018,1 Family Res,Old style,1880,2 / 1,Rural,1
"$12,200","$12,200",16000,3/19/2015,Rural vac>10,,,,Rural,19.3
"$21,500","$21,500",6000,3/19/2014,Rural vac<10,,,,Pot outskirts,2.5
"$42,600","$42,600",24000,3/18/2010,Field crops,,,,Rural,14.8
"$95,000","$9,000",50000,3/18/2009,1 Family Res,Old style,1918,5 / 1,Res Old #2,0.08
"$150,000","$20,400",139000,3/17/2022,1 Family Res,Ranch,1958,3 / 1,Pot outskirts,0.43
"$38,000","$38,000",212500,3/17/2017,Vacant rural,,,,Rural New,14
"$171,000","$20,000",79500,3/17/2011,1 Family Res,Ranch,1955,3 / 1,Vill/Norwood,0.52
"$195,000","$29,200",72600,3/17/2009,1 Family Res,Old style,1885,5 / 2,Res Old #2,0.36
"$226,000","$32,200",126000,3/16/2016,3 Family Res,Old style,1900,6 / 3,Res Old #2,0.52
"$167,000","$17,300",95000,3/16/2011,2 Family Res,Duplex,1993,4 / 2,Rural,0.36
"$357,200","$355,600",143000,3/16/2006,Field crops,,,,Rural,163.8
"$245,000","$21,800",232000,3/15/2024,1 Family Res,Old style,1920,4 / 2.1,Res Old #2,0.22
"$32,600","$32,600",300000,3/15/2021,Vacant rural,,,,Rural New,60.1
"$249,000","$36,200",183500,3/15/2019,1 Family Res,Ranch,1951,3 / 2,Res New,0.47
"$260,000","$78,500",150000,3/15/2017,1 Family Res,Cape cod,1988,4 / 2,Water/Nor Lake,3.5
"$325,000","$66,200",168000,3/15/2016,Funeral home,Commercial,1950,,Comm Old,0.44
"$100,000","$71,000",35000,3/15/2011,>1use sm bld,Commercial,1950,,Commercial,0.71
"$188,000","$28,000",93000,3/15/2010,1 Family Res,Old style,1910,3 / 1.1,Res Old #2,0.3
"$675,000","$44,200",135000,3/15/2004,Det row bldg,Commercial,1950,,Comm Old,89
"$175,000","$28,000",175000,3/14/2024,Det row bldg,Commercial,1950,,Comm Old,0.18
"$215,000","$75,900",205000,3/14/2022,Rural res,Old style,1850,2 / 1,Rural,38
"$7,300","$7,300",35000,3/14/2019,Rural vac>10,,,,Rural,0.07
"$116,000","$18,600",115500,3/13/2024,1 Family Res,Ranch,1955,3 / 1,Vill/Norwood,0.47
"$510,000","$97,900",510000,3/13/2024,Rural res,Old style,1850,2 / 2.1,Rural New,86.8
"$150,000","$33,000",35000,3/13/2024,1 Family Res,Old style,1852,2 / 1,Rural,4
"$56,800","$30,800",110000,3/13/2024,Mfg housing,,,,Rural,1.8
"$130,700","$62,400",110000,3/13/2024,Vac w/imprv,,,,Rural,85.8
"$156,000","$19,100",95000,3/13/2018,1 Family Res,Old style,1920,3 / 1.1,Res Old #2,0.19
"$66,000","$13,500",57000,3/13/2009,1 Family Res,Old style,1920,2 / 1,Vill/Norwood,0.3
"$525,000","$22,100",40000,3/13/2007,Office bldg.,Commercial,1945,,Comm Old,0.14
"$205,000","$29,400",120000,3/13/2006,1 Family Res,Ranch,1956,3 / 1.1,Res New,0.32
"$250,000","$16,800",215000,3/12/2022,1 Family Res,Split level,1979,5 / 1.1,Vill/Norwood,0.41
"$208,000","$31,800",88000,3/12/2018,2 Family Res,Old style,1878,5 / 2,Res Old #2,0.49
"$120,000","$31,500",85000,3/12/2018,1 Family Res,Split level,1955,3 / 1,Rural New,0.38
"$20,000","$20,000",5000,3/12/2001,Res vac land,,,,Vill/Norwood,1
"$105,000","$15,500",85000,3/11/2024,1 Family Res,Ranch,1951,3 / 1,Res Old #2,0.15
"$61,200","$61,200",70000,3/11/2024,Vac farmland,,,,Rural,26.3
"$225,000","$38,800",135000,3/11/2009,1 Family Res,Ranch,1964,3 / 2.1,Res New,0.55
"$1,700","$1,700",5000,3/11/2005,Rural vac<10,,,,Water/Nor Lake,2.4
"$142,000","$16,800",57000,3/11/1999,1 Family Res,Old style,1900,3 / 2.1,Vill/Norwood,0.41
"$210,000","$21,500",113300,3/10/2022,1 Family Res,Old style,1840,4 / 2.1,Vill/Norwood,0.58
"$234,600","$33,500",90000,3/10/2022,1 Family Res,Colonial,2017,4 / 1,Rural,4.5
"$172,000","$35,100",125000,3/10/2020,1 Family Res,Ranch,1971,3 / 1,Water/Nor Lake,1.1
"$211,000","$51,900",110000,3/10/2020,1 Family Res,Ranch,1960,3 / 1,Rural New,2.9
"$15,800","$15,800",4500,3/10/2019,Rural vac<10,,,,Rural,1.8
"$208,000","$51,000",16000,3/10/2019,1 Family Res,Manuf'd Housing,2020,3 / 2,Rural New,2
"$348,000","$42,400",313000,3/10/2018,1 Family Res,Colonial,2002,4 / 3,Rural,3.4
"$162,000","$20,600",89000,3/10/2016,1 Family Res,Old style,1910,5 / 1.1,Res Old #1,0.33
"$435,000","$76,800",135000,3/1/2022,Dairy farm,Other style,2000,5 / 0,Rural,84.6
"$15,900","$15,900",12400,3/1/2021,Vac farmland,,,,Rural,21.8
"$250,000","$43,800",155000,2/9/2022,1 Family Res,Split level,1975,4 / 2.1,Res New,0.75
"$184,000","$26,900",16500,2/9/2011,1 Family Res,Ranch,1957,2 / 1,Rural,0.78
"$265,600","$265,600",28000,2/9/1999,Vac farmland,,,,Rural,126.3
"$26,200","$26,200",25000,2/8/2024,Rural vac>10,,,,Rural,13.3
"$110,000","$13,800",46500,2/8/2023,1 Family Res,Old style,1900,3 / 1.1,Vill/Norwood,0.31
"$242,000","$32,600",230000,2/8/2022,1 Family Res,Log home,2020,3 / 2,Res New,0.39
"$240,000","$12,800",165000,2/8/2021,1 Family Res,Colonial,1930,5 / 2.1,Res Old #2,0.12
"$209,000","$31,700",90000,2/8/2010,1 Family Res,Ranch,1955,4 / 2,Res New,0.37
"$276,000","$40,800",15000,2/8/2010,Rural res,Ranch,2014,3 / 1.1,Rural,12.5
"$1,400,000","$635,600",1030000,2/8/2008,Water supply,,,,Comm New,27.52
"$850,000","$342,200",50000,2/8/2008,Restaurant,Commercial,2005,,Comm New,14.64
"$415,000","$103,300",135500,2/8/2005,Res Multiple,Ranch,1957,3 / 2,Water/Nor Lake,0.55
"$161,000","$47,000",71000,2/7/2024,1 Family Res,Colonial,1976,3 / 2,Rural New,0.85
"$126,000","$31,000",65000,2/7/2013,1 Family Res,Old style,1860,2 / 1,Rural,2
"$270,000","$19,100",195000,2/7/2011,1 Family Res,Old style,1933,6 / 2.2,Res Old #2,0.19
"$194,000","$100,100",135000,2/7/2006,1 Family Res,Cottage,1969,3 / 1,Water/Nor Lake,1.1
"$74,000","$11,900",18600,2/7/2002,1 Family Res,Old style,1930,3 / 1,Vill/Norwood,0.26
"$168,000","$18,000",121000,2/6/2020,1 Family Res,Old style,1903,4 / 2,Vill/Norwood,0.45
"$175,000","$29,900",132000,2/6/2020,1 Family Res,Colonial,1969,4 / 1.1,Res New,0.33
"$197,000","$51,200",180200,2/6/2018,1 Family Res,Old style,1880,4 / 2,Rural New,2.2
"$186,000","$11,900",42000,2/6/1998,1 Family Res,Old style,1880,4 / 2,Res Old #2,0.11
"$300,000","$48,500",399000,2/5/2024,1 Family Res,Ranch,1979,4 / 2.1,Vill/Norwood,1.3
"$81,000","$23,000",80500,2/5/2024,1 Family Res,Old style,1920,4 / 1.1,Res Old #1,0.45
"$375,000","$25,000",375000,2/5/2024,Apartment,Commercial,1971,,Comm Old,0.16
"$280,000","$31,200",100000,2/5/2019,Res Multiple,Ranch,1965,5 / 3,Rural,1.2
"$300,000","$17,300",182000,2/5/2018,1 Family Res,Old style,1897,4 / 1.1,Res Old #2,0.17
"$203,000","$52,300",130000,2/5/2015,Rural res,Ranch,1985,3 / 2,Rural,35.5
"$31,100","$20,300",45000,2/5/2002,Mfg housing,,,,Rural,0.46
"$94,600","$53,900",97600,2/3/2020,Vac w/imprv,,,,Rural,38.7
"$74,000","$20,600",52000,2/3/2017,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.27
"$31,500","$31,500",46500,2/3/2015,Rural vac>10,,,,Rural,24
"$105,000","$14,700",50000,2/3/2006,1 Family Res,Ranch,1944,2 / 1,Vill/Norwood,0.34
"$110,000","$28,800",66000,2/28/2020,1 Family Res,Old style,1920,2 / 1.1,Vill/Norwood,0.87
"$144,000","$26,600",55000,2/28/2014,2 Family Res,Old style,1920,5 / 2,Res Old #2,0.28
"$109,000","$69,000",50000,2/28/2008,Seasonal res,Cottage,2011,1 / 0,Rural,68.9
"$70,000","$24,200",15000,2/28/2000,1 Family Res,Cottage,1957,2 / 1,Rural New,0.24
"$178,000","$28,000",160000,2/27/2023,1 Family Res,Old style,1900,2 / 1.1,Res Old #2,0.3
"$155,000","$110,300",100000,2/27/2017,Fuel Store&Dist,Commercial,1997,,Commercial,4.48
"$194,000","$50,600",82500,2/27/2009,1 Family Res,Old style,1947,3 / 2,Rural New,1.6
"$89,000","$29,200",89000,2/26/2024,2 Family Res,Old style,1883,6 / 2,Res Old #2,0.36
"$300,000","$96,600",300000,2/26/2021,Office bldg.,Commercial,1970,,Comm Old,0.74
"$183,200","$183,200",106812,2/26/2014,Vac farmland,,,,Rural,88.9
"$85,000","$31,000",29900,2/26/1999,1 Family Res,Ranch,1955,3 / 1,Rural,2
"$347,000","$40,400",330000,2/25/2022,1 Family Res,Ranch,1970,4 / 2,Rural,1.4
"$86,900","$68,100",45000,2/25/2009,Priv forest,,,,Rural,87.1
"$205,000","$25,200",215260,2/24/2024,1 Family Res,Old style,1800,4 / 1.1,Res Old #2,0.26
"$61,300","$30,900",12000,2/24/2023,Mfg housing,,,,Rural,1.9
"$159,000","$24,500",72000,2/24/2022,2 Family Res,Colonial,1880,5 / 2,Res Old #2,92
"$38,000","$30,900",10821,2/24/2017,Mfg housing,,,,Rural,1.9
"$138,000","$23,400",80000,2/24/2017,2 Family Res,Ranch,1955,5 / 2.1,Pot outskirts,0.53
"$15,500","$15,500",6000,2/24/2016,Rural vac<10,,,,Rural,1.5
"$180,000","$30,400",35000,2/24/2015,1 Family Res,Old style,1885,4 / 2.1,Res Old #2,0.42
"$139,000","$25,800",56000,2/24/2005,1 Family Res,Old style,1910,1 / 1,Vill/Norwood,0.75
"$248,100","$64,900",48000,2/24/2005,Rural res,Old style,1880,3 / 1.1,Rural,60.8
"$228,000","$52,700",92500,2/24/2003,1 Family Res,Ranch,1989,3 / 1.1,Rural New,3.7
"$450,000","$285,600",53000,2/24/2000,Auto dealer,Commercial,2001,,Commercial,89.06
"$237,000","$68,600",210000,2/23/2022,Rural res,Manuf'd Housing,2018,4 / 2.2,Rural New,23.4
"$139,000","$32,200",132500,2/23/2017,1 Family Res,Old style,1900,4 / 1,Vill/Norwood,1.1
"$10,100","$10,100",65000,2/23/2012,Rural vac<10,,,,Union Hew Siss,2.8
"$140,000","$11,900",140000,2/22/2024,1 Family Res,Old style,1875,4 / 2,Res Old #2,0.11
"$35,000","$22,100",35000,2/22/2024,Converted Res,Commercial,1940,,Comm Old,0.14
"$163,000","$35,700",119000,2/22/2019,1 Family Res,Cape cod,1956,4 / 2,Res New,0.46
"$500,000","$122,800",400000,2/22/2011,Motel,Commercial,1956,,Commercial,1.38
"$130,000","$30,800",65900,2/22/2006,1 Family Res,Manuf'd Housing,1992,3 / 2,Rural,1.8
"$239,000","$32,600",131000,2/21/2020,1 Family Res,Split level,1968,4 / 2,Res New,0.39
"$358,000","$37,300",188000,2/20/2016,Rural res,Raised ranch,2011,4 / 2,Rural,8.3
"$238,000","$29,200",105000,2/20/2015,1 Family Res,Old style,1918,4 / 3,Res Old #2,0.36
"$70,800","$32,800",7500,2/20/1998,Mfg housing,,,,Rural,3.8
"$180,000","$73,300",180000,2/2/2024,1 Family Res,Ranch,2004,3 / 2,Water/Nor Lake,0.92
"$1,000","$1,000",245000,2/2/2023,Mining,,,,Commercial,0.01
"$182,000","$50,600",95000,2/2/2009,1 Family Res,Manuf'd Housing,2003,4 / 2,Rural New,1.6
"$342,000","$33,800",168000,2/19/2010,1 Family Res,Cape cod,1987,3 / 2,Rural,4.8
"$343,000","$76,400",240000,2/18/2022,Rural res,Contemporary,1973,4 / 2.1,Rural New,39.9
"$175,000","$28,500",74000,2/18/2015,1 Family Res,Ranch,1965,3 / 3,Res New,0.3
"$115,000","$47,000",65000,2/18/2011,1 Family Res,Old style,1900,1 / 1,Res Old #1,2.3
"$1,225,000","$189,900",45000,2/18/2005,MiniWhseSelfSto,Commercial,2005,,Commercial,18.75
"$625,000","$83,100",510000,2/17/2022,Att row bldg,Commercial,1950,,Comm Old,0.59
"$250,000","$33,800",153000,2/17/2021,1 Family Res,Old style,1880,3 / 1.1,Res Old #2,0.65
"$85,000","$15,000",44000,2/17/2021,1 Family Res,Ranch,1950,3 / 1,Res Old #1,0.2
"$380,000","$50,500",380000,2/16/2024,1 Family Res,Ranch,2023,3 / 2,Rural New,1.5
"$135,000","$15,600",134500,2/16/2024,2 Family Res,Colonial,1920,3 / 2,Pot outskirts,0.27
"$141,000","$25,200",120000,2/16/2023,1 Family Res,Cape cod,1945,3 / 2,Res New,0.24
"$126,000","$28,300",127500,2/16/2021,1 Family Res,Old style,1900,2 / 1,Vill/Norwood,0.53
"$249,300","$51,000",60000,2/16/2021,Rural res,Ranch,1991,2 / 2,Rural New,2
"$21,800","$21,800",10000,2/16/1998,Vacant rural,,,,Rural New,38.6
"$100,000","$18,000",92500,2/15/2024,1 Family Res,Old style,1910,2 / 1.1,Res Old #1,0.25
"$25,500","$25,500",13500,2/15/2022,Rural vac>10,,,,Rural,12
"$235,000","$29,900",169600,2/15/2020,1 Family Res,Ranch,1969,3 / 2,Res New,0.33
"$249,000","$35,400",9000,2/15/2011,3 Family Res,Townhouse,2011,5 / 3,Rural,6.4
"$276,000","$45,000",181000,2/14/2017,1 Family Res,Split level,1972,3 / 2.1,Rural New,0.75
"$2,370,000","$292,800",4326000,2/14/2007,Elec-hydro,,,,Commercial,10.14
"$290,000","$32,300",127200,2/13/2017,1 Family Res,Raised ranch,1979,3 / 2,Rural,3.3
"$600,000","$76,000",37000,2/13/2012,Rural res,Contemporary,2013,3 / 2.1,Rural,83
"$18,600","$18,600",12000,2/13/2009,Rural vac<10,,,,Rural,4.6
"$214,000","$26,600",80000,2/13/2008,1 Family Res,Old style,1910,3 / 1.1,Res Old #2,0.28
"$20,200","$20,200",83000,2/13/2002,Res vac land,,,,Water/Nor Lake,1.18
"$99,000","$19,600",42000,2/13/2001,1 Family Res,Old style,1920,2 / 1.1,Res Old #1,0.29
"$268,000","$43,000",255000,2/12/2022,1 Family Res,Colonial,1968,4 / 2.1,Res New,0.72
"$125,000","$56,000",84000,2/12/2018,1 use sm bld,Commercial,1972,,Commercial,0.56
"$333,000","$40,000",140000,2/12/2016,1 Family Res,Ranch,1951,4 / 2,Res New,0.6
"$136,000","$43,500",79000,2/12/2016,1 Family Res,Old style,1850,3 / 1,Rural New,0.7
"$61,100","$32,000",6000,2/12/2014,Vac w/imprv,,,,Rural New,8
